"astro-ph/0610425","David Merritt","David Merritt, Stefan Harfst, Gianfranco Bertone","Collisionally Regenerated Dark Matter Structures in Galactic Nuclei","11 pages, uses revtex4","Phys.Rev. D75 (2007) 043517","10.1103/PhysRevD.75.043517",,"astro-ph hep-ph",,"  We show that the presence of a rho~1/r^{3/2} dark matter overdensity can be
robustly predicted at the center of any galaxy old enough to have grown a
power-law density cusp in the stars via the Bahcall-Wolf mechanism. Using both
Fokker-Planck and direct N-body integrations, we demonstrate collisional
generation of these dark matter ""crests"" (Collisionally REgenerated
STtructures) even in the extreme case that the density of both stars and dark
matter were previously lowered by slingshot ejection from a binary supermassive
black hole. The time scale for collisional growth of the crest is approximately
the two-body relaxation time as defined by the stars, which is < 10 Gyr at the
centers of stellar spheroids with luminosities comparable to that of the Milky
Way bulge or less. The presence of crests can robustly be predicted in such
galaxies, unlike the steeper enhancements, called ""spikes,"" produced by the
adiabatic growth of black holes. We discuss special cases where the prospects
for detecting dark matter annihilations from the centers of galaxy haloes are
significantly affected by the formation of crests.
","[{""version"":""v1"",""created"":""Mon, 16 Oct 2006 15:07:36 GMT""}]","2009-11-11"
"astro-ph/0610458","Sylvestre Lacour","S. Lacour, E. Thi\'ebaut and G. Perrin","High dynamic range imaging with a single-mode pupil remapping system : a
  self-calibration algorithm for redundant interferometric arrays","11 pages, 7 figures. Accepted for publication in MNRAS","Mon.Not.Roy.Astron.Soc.374:832-846,2007","10.1111/j.1365-2966.2006.11198.x",,"astro-ph",,"  The correction of the influence of phase corrugation in the pupil plane is a
fundamental issue in achieving high dynamic range imaging. In this paper, we
investigate an instrumental setup which consists in applying interferometric
techniques on a single telescope, by filtering and dividing the pupil with an
array of single-mode fibers. We developed a new algorithm, which makes use of
the fact that we have a redundant interferometric array, to completely
disentangle the astronomical object from the atmospheric perturbations (phase
and scintillation). This self-calibrating algorithm can also be applied to any
- diluted or not - redundant interferometric setup. On an 8 meter telescope
observing at a wavelength of 630 nm, our simulations show that a single mode
pupil remapping system could achieve, at a few resolution elements from the
central star, a raw dynamic range up to 10^6; depending on the brightness of
the source. The self calibration algorithm proved to be very efficient,
allowing image reconstruction of faint sources (mag = 15) even though the
signal-to-noise ratio of individual spatial frequencies are of the order of
0.1. We finally note that the instrument could be more sensitive by combining
this setup with an adaptive optics system. The dynamic range would however be
limited by the noise of the small, high frequency, displacements of the
deformable mirror.
","[{""version"":""v1"",""created"":""Mon, 16 Oct 2006 15:01:28 GMT""},{""version"":""v2"",""created"":""Thu, 7 Dec 2006 21:53:08 GMT""},{""version"":""v3"",""created"":""Tue, 12 Dec 2006 03:16:36 GMT""}]","2008-11-26"
"astro-ph/0610459","Ennio Poretti","E. Poretti (INAF-OA Brera), A.F. Lanza (INAF-OA Catania), C. Maceroni
  (INAF-OA Roma), I. Pagano (INAF-OA Catania), V. Ripepi (INAF-OA Capodimonte)","CoRoT and the search for exoplanets. The Italian contribution","Invited contribution to ""VII Convegno Nazionale Scienze Planetarie"",
  S. Felice Circeo, 5-9 September 2006. To be published in the Proceedings
  (Eds. M.T. Capria et al.) of the ""Memorie della Societa' Astronomica
  Italiana""",,,,"astro-ph",,"  The space mission CoRoT (COnvection, ROtation and planetary Transits) will
offer the possibility to detect extrasolar planets by means of the transit
method. The satellite will observe about 60000 targets in the range
11.0<V<16.0, located in five fields near the equator. The parts of the
preparatory work in which the Italian community has been involved are
described, with a particular emphasis on the observations to characterize the
fields, on the effects of stellar activity and background stars and on the
outreach activities. We performed a quantitative evaluation of instrumental and
stellar effects in the planetary transit detection and a more careful
evaluation of the stellar content of some specific stellar fields. Also
considering the full spectroscopic characterisation of the targets and the
precise photometric evaluation of the stellar variability in the CoRoT fields,
the Italian researchers provided original and useful inputs to the scientific
profile to the mission.
","[{""version"":""v1"",""created"":""Mon, 16 Oct 2006 11:04:57 GMT""}]","2007-05-23"
"astro-ph/0610460","John Grenfell","John Lee Grenfell, Barbara Stracke, Philip von Paris, Beate Patzer,
  Ruth Titz, Antigona Segura, and Heike Rauer","The Response of Atmospheric Chemistry on Earthlike Planets around F, G
  and K Stars to Small Variations in Orbital Distance",,,"10.1016/j.pss.2006.09.002",,"astro-ph",,"  One of the prime goals of future investigations of extrasolar planets is to
search for life as we know it. The Earth's biosphere is adapted to current
conditions. How would the atmospheric chemistry of the Earth respond if we
moved it to different orbital distances or changed its host star? This question
is central to astrobiology and aids our understanding of how the atmospheres of
terrestrial planets develop. To help address this question, we have performed a
sensitivity study using a coupled radiative-convective photochemical column
model to calculate changes in atmospheric chemistry on a planet having Earth's
atmospheric composition, which we subjected to small changes in orbital
position, of the order of 5-10 per cent for a solar-type G2V, F2V, and K2V
star. We then applied a chemical source-sink analysis to the biomarkers in
order to understand how chemical processes affect biomarker concentrations. We
start with the composition of the present Earth, since this is the only example
we know for which a spectrum of biomarker molecules has been measured. We then
investigate the response of the biomarkers to changes in the input stellar
flux. Computing the thermal profile for atmospheres rich in H2 O, CO2 and CH4
is however a major challenge for current radiative schemes, due, among other
things, to lacking spectroscopic data. Therefore, as a first step, we employ a
more moderate approach, by investigating small shifts in planet-star distance
and assuming an earthlike biosphere. To calculate this shift we assumed a
criteria for complex life based on the Earth, i.e. the earthlike planetary
surface temperature varied between zero to thirty degrees Centigrade which led
to a narrow HZ width of (0.94-1.08)
","[{""version"":""v1"",""created"":""Mon, 16 Oct 2006 10:35:13 GMT""}]","2009-11-11"
"astro-ph/0610461","J. Nevalainen","J. Nevalainen, M. Bonamente, J. Kaastra","Revisiting the soft X-ray excess emission in clusters of galaxies
  observed with XMM-Newton","ApJ in press, minor stylistic changes","Astrophys.J.656:733-738,2007","10.1086/510325",,"astro-ph",,"  We analyze four XMM-Newton galaxy clusters in order to test whether their
soft X-ray excess emission in the 0.2-0.5 keV band as reported by Kaastra et
al. (2003) maintains after the application of the current knowledge of the
XMM-Newton background and calibration. We show that in the bright central 500
kpc regions the details of the background modeling are insignificant. Thus, the
cluster soft excess is not a background artifact, contrary to recent claims by
Bregman et al. (2006). We find evidence that the change in PN calibration
between years 2002 and 2005 results in significant decrease of the soft excess
signal. However, the MOS instruments measure significant amounts of soft
excess, or sub-Galactic NH. These differences are compatible with the current
level of uncertainty in the calibration of both instruments.
","[{""version"":""v1"",""created"":""Mon, 16 Oct 2006 10:55:00 GMT""},{""version"":""v2"",""created"":""Thu, 19 Oct 2006 20:30:52 GMT""}]","2008-11-26"
"astro-ph/0610462","Christophe Le Poncin-Lafitte","P. Teyssandier (1), C. Le Poncin-Lafitte (2) ((1) Observatoire de
  Paris, (2) Technische Universitat Dresden)","Relativistic astrometry and Synge's world function","proceedings of the SF2A, 2006",,,,"astro-ph",,"  Almost all of the studies devoted to relativistic astrometry are based on the
integration of the null geodesic differential equations. However, the
gravitational deflection of light rays can be calculated by a different method,
based on the determination of the bifunction giving half the squared geodesic
distance between two arbitrary points-events, the so-called Synge's world
function. We give a brief review of the main results obtained by this method.
","[{""version"":""v1"",""created"":""Mon, 16 Oct 2006 11:14:06 GMT""}]","2007-05-23"
"astro-ph/0610463","Christophe Le Poncin-Lafitte","C. Le Poncin-Lafitte (1), S. Lambert (2) ((1) Technische Universitat
  Dresden, (2) Royal Observatory of Belgium)","Testing General Relativity with the ACES Mission","proceedings of the SF2A 2006",,,,"astro-ph",,"  The new generation of atomic clocks will reach unprecedented uncertainties in
frequency of $10^{-18}$. In order to prepare space missions such as ACES, we
compute all relativistic frequency shifts detectable during this mission in the
case of a clock aboard the International Space Station.
","[{""version"":""v1"",""created"":""Mon, 16 Oct 2006 11:19:09 GMT""}]","2007-05-23"
"astro-ph/0610464","Maria Lugaro","M. Lugaro, A. I. Karakas, L. R. Nittler, C. M. O'D. Alexander, P.
  Hoppe, C. Iliadis & J. C. Lattanzio","On the asymptotic giant branch star origin of peculiar spinel grain OC2","10 pages, 8 figures, accepted for publication on Astronomy &
  Astrophysics",,"10.1051/0004-6361:20065768",,"astro-ph",,"  Microscopic presolar grains extracted from primitive meteorites have
extremely anomalous isotopic compositions revealing the stellar origin of these
grains. The composition of presolar spinel grain OC2 is different from that of
all other presolar spinel grains. Large excesses of the heavy Mg isotopes are
present and thus an origin from an intermediate-mass (IM) asymptotic giant
branch (AGB) star was previously proposed for this grain. We discuss the
isotopic compositions of presolar spinel grain OC2 and compare them to
theoretical predictions. We show that the isotopic composition of O, Mg and Al
in OC2 could be the signature of an AGB star of IM and metallicity close to
solar experiencing hot bottom burning, or of an AGB star of low mass (LM) and
low metallicity suffering very efficient cool bottom processing. Large
measurement uncertainty in the Fe isotopic composition prevents us from
discriminating which model better represents the parent star of OC2. However,
the Cr isotopic composition of the grain favors an origin in an IM-AGB star of
metallicity close to solar. Our IM-AGB models produce a self-consistent
solution to match the composition of OC2 within the uncertainties related to
reaction rates. Within this solution we predict that the 16O(p,g)17F and the
17O(p,a)14N reaction rates should be close to their lower and upper limits,
respectively. By finding more grains like OC2 and by precisely measuring their
Fe and Cr isotopic compositions, it may be possible in the future to derive
constraints on massive AGB models from the study of presolar grains.
","[{""version"":""v1"",""created"":""Mon, 16 Oct 2006 11:39:13 GMT""}]","2009-11-11"
"astro-ph/0610465","Vera K\""onyves","V. Konyves, Cs. Kiss, A. Moor, Z. Kiss, L.V. Toth","Catalogue of far-infrared loops in the Galaxy","11 pages - 10 figures (together with Appendix A), accepted for
  publication in Astronomy & Astrophysics. Appendix B, C and D are available at
  http://kisag.konkoly.hu/CFIRLG/",,"10.1051/0004-6361:20065438",,"astro-ph",,"  Aims: An all-sky survey of loop- and arc-like intensity enhancements has been
performed in order to investigate the large-scale structure of the diffuse
far-infrared emission. Methods: We used maps made of 60 and 100 micrometer
processed IRAS data (Sky Survey Atlas and dust infrared emission maps) to
identify large-scale structures: loops, arcs or cavities, in the far-infrared
emission in the Galaxy. Distances were attributed to a subsample of loops using
associated objects. Results: We identified 462 far-infrared loops, analyzed
their individual FIR properties and their distribution. This data forms the
Catalogue of Far-Infrared Loops in the Galaxy. We obtained observational
estimates of f_in~30% and f_out~5% for the hot gas volume filling factor of the
inward and outward Galactic neighbourhood of the Solar System. We obtained a
slope of the power law size luminosity function {beta}=1.37 for low Galactic
latitudes in the outer Milky Way. Conclusions: Deviations in the celestial
distribution of far-infrared loops clearly indicate, that violent events
frequently overwrite the structure of the interstellar matter in the inner
Galaxy. Our objects trace out the spiral arm structure of the Galaxy in the
neighbourhood of the Sun and their distribution clearly suggests that there is
an efficient process that can generate loop-like features at high Galactic
latitudes. Power law indices of size luminosity distributions suggest, that the
structure of the ISM is ruled by supernovae and stellar winds at low Galactic
latitudes while it is governed by supersonic turbulence above the Galactic
plane.
","[{""version"":""v1"",""created"":""Mon, 16 Oct 2006 13:10:21 GMT""}]","2015-06-24"
"astro-ph/0610466","Stefano Ettori","Stefano Ettori (INAF-OA Bologna)","Helium and Iron in X-ray galaxy clusters","6 pages. To appear in the Proceedings of ""Heating vs. Cooling in
  Galaxies and Clusters of Galaxies"", August 2006, Garching (Germany)",,"10.1007/978-3-540-73484-0_52",,"astro-ph",,"  I discuss the role of the sedimentation of helium in galaxy cluster cores on
the observed X-ray properties and present a history of the metal accumulation
in the ICM, with new calculations with respect to my previous work following
the recent evidence of a bi-modal distribution of the delay time in Supernovae
Type Ia.
","[{""version"":""v1"",""created"":""Mon, 16 Oct 2006 12:36:33 GMT""}]","2015-06-24"
"astro-ph/0610467","Stephan Geier","S. Geier, C. Karl, H. Edelmann, U. Heber, R. Napiwotzki","Spectroscopic Analysis of Subluminous B Stars in Binaries - Four
  Candidate Systems with Neutron Star/Black Hole Companions Discovered","10 pages, 4 figures, To appear in the Proceedings of the
  International Symposium on Nuclear Astrophysics - Nuclei in the Cosmos - IX
  (2006)","PoSNIC-IX:101,2006",,,"astro-ph",,"  The masses of compact objects like white dwarfs, neutron stars and black
holes are fundamental to astrophysics, but very difficult to measure. We
present the results of an analysis of subluminous B (sdB) stars in close binary
systems with unseen compact companions to derive their masses and clarify their
nature. Radial velocity curves were obtained from time resolved spectroscopy.
The atmospheric parameters were determined in a quantitative spectral analysis.
With high resolution spectra we were able to measure the projected rotational
velocity of the stars with high accuracy. The assumption of orbital
synchronization made it possible to constrain inclination angle and companion
mass of the binaries. Five invisible companions have masses that are compatible
with white dwarfs or late type main sequence stars. But four sdBs have very
massive companions like heavy white dwarfs, neutron stars or even black holes.
Such a high fraction of massive compact companions can not be explained with
current models of binary evolution.
","[{""version"":""v1"",""created"":""Mon, 16 Oct 2006 12:31:56 GMT""}]","2008-11-26"
"astro-ph/0610468","Jerry A. Sellwood","J. A. Sellwood (Rutgers university)","Bar-Halo Friction in Galaxies III: Halo Density Changes","19 pages, 16 figures, uses emulateapj, accepted to appear in ApJ.
  Extensively revised from v1",,"10.1086/586882","Rutgers astrophysics preprint #443","astro-ph",,"  The predicted central densities of dark matter halos in LCDM models exceed
those observed in some galaxies. Weinberg & Katz argue that angular momentum
transfer from a rotating bar in the baryonic disk can lower the halo density,
but they also contend that N-body simulations of this process will not reveal
the true continuum result unless many more than the usual numbers of particles
are employed. Adopting their simplified model of a rotating rigid bar in a live
halo, I have been unable to find any evidence to support their contention. I
find that both the angular momentum transferred and the halo density change are
independent of the number of particles over the range usually employed up to
that advocated by these authors. I show that my results do not depend on any
numerical parameters, and that field methods perform equally with grid methods.
I also identify the reasons that the required particle number suggested by
Weinberg & Katz is excessive. I further show that when countervailing
compression by baryonic settling is ignored, moderate bars can reduce the mean
density of the inner halo by 20% - 30%. Long, massive, skinny bars can reduce
the mean inner density by a factor ~10. The largest density reductions are
achieved at the expense of removing most of the angular momentum likely to
reside in the baryonic component. Compression of the halo by baryonic settling
must reduce, and may even overwhelm, the density reduction achievable by bar
friction.
","[{""version"":""v1"",""created"":""Mon, 16 Oct 2006 12:38:58 GMT""},{""version"":""v2"",""created"":""Sat, 2 Feb 2008 16:00:13 GMT""}]","2009-11-11"
